Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
GMB,Gambia,Africa,sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"2019 tax returns for the retail and services sectors have been deferred form the first quarter of 2020 to the second quarter. In Gambia, wholesale and retail trade activities account for 45% of women's employment compared to 22.2% of men's.",https://oecd.github.io/OECD-covid-action-map/,NO,YES,NO,YES,YES,NO,NO
GHA,Ghana,Africa,Sub-Saharan Africa,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"All frontline health workers will receive an additional allowance of 50 percent of their basic salary for the months of March, April, May and June. In Ghana, women comprise around 62% of the health care workers.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2564;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
GIN,Guinea,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Credit lines or additional liquidity by financial institutions,Not specific,"The BCRG allows banks, for the duration of the pandemic, to count against their reserve credit provided to SMEs, businesses in the services sector affected (hotels, restaurants and transport), and major importers of food and pharmaceutical products. In Guinea, for every man employed in accommodation and service activities, there are 4.2 women.",https://oecd.github.io/OECD-covid-action-map/,NO,YES,NO,YES,YES,NO,NO
GIN,Guinea,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Measures targeted to the tourism and hospitality sectors: a) A postponement (from April to June 2020 inclusive) of all charges tax and social security of companies in the tourism sector and hotels, including social security contributions; b) A postponement (from April to June 2020 inclusive) of water and electricity bills tourism and hotel businesses; c)  waiver (for April to June 2020) of VAT on invoices of water and electricity. In the accommodation and food service industry in Guinea, there are 4 women employed for every 1 man. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
KEN,Kenya,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"As part of the COVID-19 Country Socio-Economic Re-Engineering and Recovery Strategies (CCSERS), Kenya plans to boost private sector activity by enhancing access to affordable credit for microenterprises through several initiatives including creating and strengthening lines of funding, promoting financial literacy programs, establishing frameworks for microleasing, and providing access to a credit guarantee scheme. It also plans to provide material and non-material resources that can help build business capacity. These resources include support to improve market access (regionally and through digitalization), improving physical infrastructure, and providing designated worksites for the creation and sale of goods and services.  ",https://maarifa.cog.go.ke/assets/file/Social%20economic%20Re-engineering%20recovery%20strategy.pdf,NO,NO,NO,NO,YES,YES,NO
KEN,Kenya,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"Under the 2020/2021 budget the Government is also committed to improve production of maize, coffee, tea, wheat among other crops through continued provision of subsidized fertilizer and partnering with local fertilizer blending companies to further reduce the cost of production to farmers. The agricultural sector in Kenya accounts for 60% of women's employment compared to 48% of men's. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
KEN,Kenya,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The Kenyan government will give state-owned Rivatex Textile Company in Eldoret an additional funding of 500 million KES for expanding and modernizing its operations. The first phase of funding of more than 5 billion KES has revived the firm with new equipment, according to Jared Ichwara, director of planning in the state department of industrialization. The extra 500 million KES has been factored into the budget to be tabled in parliament. Women employees outnumber men in textile manufacturing by almost 2 to 1. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
LSO,Lesotho,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The government has also pledged to launch three months disbursing grant scheme of 50 million LSL for medium, small and micro businesses. It is targeting the tourism sector, including hotels and restaurants, transport, food sectors and MSMEs. The scope of the grant scheme, managed by the government's Private Sector Competitiveness Project, will expand as impacts of COVID-19 emerge. The government will provide up to 20,000 LSL matching grant to companies with less than 50 employees. The measure addresses women's economic security, as for every man employed in Accommodation and food service activities, there are 3.2 women.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://www.lndc.org.ls/content/covid-19-response-pcg-c-pcg",NO,YES,NO,YES,YES,NO,NO
LSO,Lesotho,Africa,Sub-Saharan Africa,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"The government provided a three month salary subsidy of 800 LSL (equivalent to 50% of monthly earnings of employees in the sector) to over 40,000 employees of the textile and clothing industry to mitigate potential loss of incomes. 82% of all industry jobs are occupied by women.","https://www.gov.ls/wp-content/uploads/2020/08/First-100-Days-of-Prime-Minister-MajoroV1.pdf start date - https://allafrica.com/stories/202005190321.html ;
https://iskm.issa.int/node/13428;
https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2",NO,YES,NO,YES,YES,NO,NO
LBR,Liberia,Africa,Sub-Saharan Africa,Labour market,Activation measures and enterprise development,Not specific,"The Market Women and Small Informal Petty Traders Bank Loan Program is approved, with modification to add credit unions and related entities registered and doing business before January 1, 2020. The Government will fully pay the loans owed by market women, and petty and small traders in affected counties as part of the requested budgetary reallocation. This program will further help the banks to increase lending to new borrowers. ","http://gnnliberia.com/2020/04/17/liberia-senators-signed-the-resolution-authorizing-state-of-emergency/?fb_comment_id=3007200832707586_3008565395904463?pr=116265&lang=ar;
https://bushchicken.com/full-transcript-president-weah-lays-out-state-of-emergency-plan-to-legislature/;
https://frontpageafricaonline.com/business/analysis-liberia-accountability-measure-greets-president-weahs-ambitious-state-of-emergency-plan/ ",NO,YES,NO,YES,NO,NO,NO
MDG,Madagascar,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Tax measures for the tourism sector: (i) Suspension of the bi-monthly CIT instalment payment. (ii) Extension to 30 June 2020 for reporting and payment obligations but the deadline for all deductions made on behalf of the State remains the same (such as VAT). In Madagascar, for every men employed in accommodation and food services, there are 2.7 women.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
MLI,Mali,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"The President of the Republic announced tax advantages for sectors particularly affected by the pandemic including tourism, hotels and transport. The measure addresses women's economic security, since accommodation and food service activities employ 2.3 times more women than men. In addition to this, the Government has implemented a 3-month exemption from customs duties on the import of basic food (rice and milk)","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://oecd.github.io/OECD-covid-action-map/",NO,YES,NO,YES,YES,NO,NO
MUS,Mauritius,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,100 million MUR (2.5 million USD) earmarked to encourage local production of food crops,https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,NO,NO,NO,YES,YES,NO
MUS,Mauritius,Africa,Sub-Saharan Africa,Labour market,Activation measures and enterprise development,Not specific,"The Human Resource Development Council (HHRDC) will increase the National Training and Reskilling Intake by some 9,000 unemployed in the construction, manufacturing, logistics, ICT-BPO, agro-industry, renewable energy and the circular economy. Beneficiaries will be paid monthly stipends of Rs10,200 over a training period spanning six months.",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2937,NO,NO,NO,NO,YES,YES,NO
MUS,Mauritius,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"Leasing Equipment Modernization Scheme (LEMS I, II, III): Enterprises with annual turnover ranging between 50 million MUR and 1.5 billion MUR will benefit from a reduced interest rate ranging between 2.5% and 3.35% per annum.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,NO,NO,NO,YES,NO,NO
MAR,Morocco,Africa,Northern Africa,Labour market,Activation measures and enterprise development,Not specific,"The Ministry of Tourism, Handicrafts, Air Transport and Social and Solidarity Economy has put in place measures to facilitate the certification system for cooperatives to produce 30,000 reusable masks per day. 15 cooperatives have been certified with a total of 103 members, 100% of whom are women.","Information provided by UN Women and/or UNDP country office;

https://home.kpmg/xx/en/home/insights/2020/04/morocco-government-and-institution-measures-in-response-to-COVID.html;

https://www.ccg.ma/fr/espace-media/actualites/COVID-19-la-ccg-lance-la-garantie-exceptionnelle-damane-oxygene-pour-venir",NO,YES,NO,YES,YES,NO,NO
